geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
PA14_01670,7,6,3,5,3,5
PA14_01680,2,2,3,5,3,2
PA14_01690,5,3,2,7,1,5
"PA14_01710,ahpC",757,1185,985,1254,1042,1079
"PA14_01720,ahpF",127,141,209,324,152,325
PA14_01730,839,675,493,883,439,808
PA14_01750,6,11,6,10,11,6
"PA14_01760,nuh",120,161,119,166,115,145
PA14_01770,31,31,19,39,18,34
PA14_01780,39,57,33,63,33,32
PA14_01790,7,9,5,10,6,4
PA14_01800,10,13,6,16,8,15
PA14_01810,20,15,9,23,18,15
"PA14_01830,add",50,83,34,47,43,61
PA14_01840,0,0,0,0,0,2
PA14_01860,0,6,3,3,4,4
PA14_01870,7,8,4,7,3,9
"PA14_01890,pcaQ",11,7,4,10,8,9
"PA14_01900,pcaH",19,7,21,41,22,37
"PA14_01910,pcaG",11,2,19,32,11,22
"PA14_01930,pcaR",21,28,16,26,16,15
PA14_01940,43,64,36,56,61,54
PA14_01960,66,62,37,47,46,49
PA14_01970,318,427,264,343,336,433
PA14_01980,59,84,39,65,30,58
PA14_01990,6,17,1,11,9,6
PA14_02010,17,20,1,20,9,20
PA14_02020,29,10,21,36,6,28
PA14_02030,12,23,16,14,14,18
PA14_02050,12,21,9,15,14,22
PA14_02060,14,7,9,14,10,6
PA14_02070,0,2,0,0,0,1
PA14_02090,54,73,55,63,35,61
PA14_02100,11,7,7,3,10,8
PA14_02110,4,6,6,5,13,14
PA14_02130,14,6,14,22,9,24
PA14_02140,9,12,8,8,12,15
PA14_02150,13,16,9,11,13,22
"PA14_02180,cheB",13,23,16,27,13,14
"PA14_02190,cheD",33,37,36,67,32,36
"PA14_02200,cheR",125,121,104,186,84,156
PA14_02220,351,294,304,506,213,422
"PA14_02230,cheW",140,117,126,187,47,159
"PA14_02250,cheA",305,268,233,479,206,344
"PA14_02260,cheY",231,197,188,345,259,239
PA14_02270,168,139,141,184,120,147
PA14_02290,47,36,32,41,21,31
"PA14_02300,fabG",4,3,3,6,4,3
"PA14_02310,atsA",9,7,8,4,6,4
"PA14_02330,atsC",1,1,1,3,1,3
"PA14_02340,atsB",5,8,3,1,2,4
"PA14_02360,atsR",2,4,1,4,5,6
PA14_02370,1,3,0,0,1,1
PA14_02380,0,3,1,3,3,0
PA14_02390,17,12,7,8,11,19
PA14_02410,0,1,3,1,0,4
"PA14_02420,atsK",0,4,3,3,2,5
PA14_02435,2,2,1,4,1,1
PA14_02450,65,44,54,77,47,79
PA14_02460,19,25,26,38,32,30
"PA14_02470,pntB",84,83,57,77,87,112
"PA14_02490,tonB2",7,4,4,3,11,5
"PA14_02500,exbB1",8,10,9,10,13,11
"PA14_02510,exbD1",2,12,7,4,11,14
PA14_02520,38,58,36,40,50,87
PA14_02530,11,15,7,5,12,14
"PA14_02550,mdcA",8,10,13,18,7,10
"PA14_02560,mdcB",4,4,1,0,1,3
"PA14_02570,mdcC",1,2,1,0,3,2
"PA14_02580,mdcD",3,5,9,6,4,4
"PA14_02590,mdcE",0,6,2,4,8,3
"PA14_02610,mdcG",1,0,1,1,3,0
"PA14_02620,mdcH",3,13,4,15,2,6
"PA14_02630,mdcL",4,6,3,12,7,3
"PA14_02640,mcdM",1,4,11,11,8,7
PA14_02650,24,37,25,39,24,28
PA14_02660,18,22,7,16,24,19
"PA14_02680,aldH",1,7,5,7,3,8
PA14_02690,7,5,4,5,4,5
PA14_02700,1,2,3,6,2,3
PA14_02720,2,1,0,3,0,1
PA14_02730,6,5,4,3,3,3
PA14_02740,2,8,3,3,1,3
PA14_02750,39,60,29,47,40,49
"PA14_02760,catI",27,16,14,23,23,39
"PA14_02770,pcaJ",9,4,5,14,8,19
"PA14_02790,pcaF",22,11,11,20,12,16
"PA14_02810,pcaT",60,49,44,46,55,46
"PA14_02830,pcaB",22,18,13,20,33,13
"PA14_02840,pcaD",21,24,27,15,19,32
