geneID,GSM1563547_phoB_1.rpg.txt,GSM1563548_phoB_2.rpg.txt,GSM1563549_PA14_54510_1.rpg.txt,GSM1563550_PA14_54510_2.rpg.txt,GSM1563551_PA14_WT_1.rpg.txt,GSM1563552_PA14_WT_2.rpg.txt
"PA14_18410,algF",16,16,17,32,12,16
"PA14_18430,algJ",4,3,6,4,5,5
"PA14_18450,algI",14,15,9,13,8,24
"PA14_18470,algL",0,3,3,6,3,8
"PA14_18480,algX",5,3,4,8,5,5
"PA14_18500,algG",1,2,4,4,2,4
"PA14_18510,algE",7,10,2,9,13,8
"PA14_18520,algK",3,2,2,1,3,2
"PA14_18550,alg44",3,5,5,4,4,2
"PA14_18565,alg8",2,8,8,9,4,7
"PA14_18580,algD",37,45,20,26,26,35
PA14_18590,71,106,71,95,79,94
PA14_18600,67,91,50,106,101,99
"PA14_18610,argF",57,54,33,80,58,75
PA14_18620,37,33,21,30,28,18
"PA14_18630,eprS",35,52,48,57,46,59
PA14_18640,21,23,12,28,12,17
"PA14_18650,ydhD",92,146,86,123,97,105
PA14_18660,17,21,7,11,26,28
"PA14_18670,bfrB",1338,2032,912,1167,1442,1575
"PA14_18680,bfd",11,19,6,10,1,4
"PA14_18690,ahpC",1297,1331,1047,1487,1183,1530
"PA14_18700,rnt",97,165,64,80,46,82
"PA14_18710,pyrC",72,120,41,79,48,70
"PA14_18720,motY",74,101,42,96,50,74
"PA14_18740,argG",280,282,210,355,312,378
"PA14_18750,gloA1",105,151,66,96,66,96
"PA14_18760,mexE",3,0,0,2,2,0
"PA14_18780,mexF",11,7,8,10,10,14
"PA14_18790,opmE",4,2,3,0,2,1
PA14_18800,10,15,6,6,7,14
PA14_18810,8,3,3,6,8,7
PA14_18820,1,2,1,1,1,1
PA14_18830,3,3,1,2,5,6
PA14_18850,7,6,10,6,8,6
PA14_18860,24,27,28,27,18,25
PA14_18870,51,75,35,58,14,46
"PA14_18880,nth",56,66,48,51,21,54
"PA14_18890,rnfE",36,39,17,35,20,40
"PA14_18900,rnfG",16,22,14,14,11,18
"PA14_18910,rnfD",35,41,20,32,28,30
"PA14_18920,rnfC",45,76,29,43,43,41
"PA14_18930,rnfB",13,16,23,16,9,19
"PA14_18950,rnfA",27,22,21,40,31,24
PA14_18960,102,113,89,97,108,96
"PA14_18970,pldA",730,938,557,652,574,1085
PA14_18985,258,287,194,276,234,392
PA14_19010,19,13,6,16,6,10
PA14_19020,44,41,28,40,37,49
PA14_19030,56,80,40,61,56,64
"PA14_19050,metG",667,880,475,807,509,768
"PA14_19065,mrp",63,66,48,81,51,58
"PA14_19090,dcd",78,105,78,118,62,98
"PA14_19100,rhlA",4260,6685,2959,4820,1841,4323
"PA14_19110,rhlB",3344,4807,2140,3482,1865,2906
"PA14_19120,rhlR",2611,3531,1870,2980,2137,2703
"PA14_19130,rhlI",576,887,520,715,568,750
"PA14_19140,pheC",160,204,119,174,114,192
"PA14_19150,yigM",17,31,10,13,13,27
"PA14_19160,rarD",26,30,15,26,26,26
"PA14_19170,yafL",262,349,152,310,161,233
"PA14_19190,sfcA",255,317,264,377,156,247
PA14_19205,5,7,3,14,3,6
PA14_19210,19,23,11,16,16,20
"PA14_19230,ybdG",51,48,46,52,44,55
PA14_19270,5,2,3,6,5,4
"PA14_19290,srmB",96,110,62,120,62,95
PA14_19310,125,219,108,144,148,159
PA14_19320,7,10,6,12,11,11
PA14_19330,5,14,4,3,8,5
PA14_19340,49,68,33,75,44,60
PA14_19350,160,142,270,309,207,320
PA14_19360,181,242,339,406,329,321
"PA14_19370,asnB",276,344,538,612,394,548
PA14_19380,77,109,40,96,86,79
PA14_19390,5,15,5,6,12,8
"PA14_19400,mnmC",51,29,41,46,25,28
PA14_19410,298,313,281,321,209,368
PA14_19430,13,23,5,30,20,25
PA14_19450,11,15,2,15,10,12
"PA14_19470,mqoA",71,65,54,88,53,77
PA14_19480,54,66,33,34,14,38
"PA14_19490,lsfA",197,243,114,150,159,166
"PA14_19500,ssuA",8,7,6,1,8,3
"PA14_19510,ssuC",3,4,4,4,5,6
"PA14_19520,ssuB",2,7,1,3,3,1
"PA14_19530,ssuE",30,26,17,4,37,28
"PA14_19540,ssuA",43,73,12,26,43,63
"PA14_19560,ssuD",32,47,22,26,40,56
"PA14_19570,ssuC",35,39,15,13,38,36
"PA14_19580,ssuB",37,55,19,15,39,38
"PA14_19590,ssuF",20,13,10,7,28,13
PA14_19600,45,62,46,55,24,49
PA14_19610,66,89,66,104,126,52
"PA14_19620,folX",85,96,86,117,87,89
"PA14_19630,folE1",95,123,44,79,57,95
"PA14_19640,ydgB",16,34,18,36,19,34
PA14_19650,7,5,6,4,7,2
"PA14_19660,mioC",24,22,13,26,37,27
PA14_19670,10,10,9,9,5,15
PA14_19680,63,169,27,73,79,95
PA14_19690,40,46,15,58,33,34
PA14_19700,41,35,34,48,22,40
PA14_19710,19,21,11,27,12,14
PA14_19720,6,10,0,6,1,1
PA14_19730,23,25,17,29,18,19
PA14_19740,18,20,16,23,28,30
PA14_19750,0,1,2,2,0,0
PA14_19770,4,3,2,3,1,4
PA14_19800,22,31,14,24,12,15
PA14_19810,4,6,2,2,2,2
PA14_19830,5,5,4,3,3,8
PA14_19850,8,3,2,4,4,6
PA14_19860,18,36,16,15,17,17
"PA14_19870,ldh",54,72,56,48,58,67
PA14_19900,66,66,24,61,48,36
"PA14_19910,pdhB",44,75,38,48,36,40
PA14_19920,32,52,17,24,27,14
PA14_19930,1,5,2,2,2,3
PA14_19940,12,8,3,10,10,10
PA14_19950,47,62,34,62,70,78
PA14_19960,1,2,0,2,2,1
PA14_19970,0,0,0,0,1,2
PA14_19990,2,0,0,0,0,0
PA14_20000,2,2,0,2,1,4
"PA14_20010,hasR",2,1,0,3,3,8
"PA14_20020,hasAp",1,0,1,1,1,1
"PA14_20030,hasD",3,1,2,0,0,1
"PA14_20040,hasE",0,2,2,0,0,3
"PA14_20050,hasF",2,0,0,1,2,0
PA14_20060,33,66,23,37,11,19
PA14_20070,2,2,1,6,3,6
PA14_20080,40,36,17,27,23,32
PA14_20100,30,30,23,27,18,41
PA14_20110,26,26,25,22,26,31
PA14_20120,23,31,15,27,23,19
"PA14_20130,yeiE",11,14,5,17,9,16
"PA14_20140,fpr",528,805,426,648,369,739
"PA14_20150,nosL",0,2,0,0,0,1
"PA14_20170,nosY",1,2,0,1,2,0
"PA14_20180,nosF",2,0,0,0,0,0
"PA14_20190,nosD",5,2,2,8,4,5
"PA14_20200,nosZ",8,10,9,10,11,17
"PA14_20230,nosR",5,7,3,12,6,4
PA14_20240,8,4,2,4,3,4
PA14_20250,0,2,0,2,2,3
PA14_20260,3,2,5,6,11,5
"PA14_20270,rhlG",4,8,1,4,4,7
PA14_20280,13,11,12,23,8,14
"PA14_20290,algZ",349,505,314,504,271,463
"PA14_20300,phnC",10,18,641,779,274,405
"PA14_20320,phnD",19,9,1624,1945,793,1274
"PA14_20330,phnE",6,21,941,1354,824,933
"PA14_20350,phnF",2,0,82,87,128,101
"PA14_20360,phnG",0,0,45,32,48,46
"PA14_20370,phnH",4,3,101,111,121,113
"PA14_20380,phnI",10,7,250,281,344,326
"PA14_20390,phnJ",2,8,296,321,377,346
"PA14_20400,phnK",4,7,135,146,174,142
"PA14_20420,phnL",5,4,100,116,117,147
"PA14_20430,phnM",19,23,151,131,183,160
"PA14_20440,phnN",10,16,33,35,55,35
"PA14_20450,phnP",15,7,41,52,54,34
PA14_20460,35,39,36,44,47,38
PA14_20470,91,76,88,120,54,110
PA14_20480,151,217,212,252,149,228
PA14_20491,8,5,54,82,12,38
PA14_20500,1381,472,1538,608,1822,596
PA14_20510,70,73,43,55,15,68
PA14_20520,105,150,94,94,46,93
PA14_20530,61,44,42,54,12,62
PA14_20550,8,12,3,12,9,10
"PA14_20560,amiE",46,77,45,58,36,73
"PA14_20570,amiB",14,10,18,20,10,13
"PA14_20580,amiC",15,20,5,16,16,24
"PA14_20590,amiR",16,17,7,17,25,31
PA14_20600,73,99,65,78,47,88
"PA14_20610,lecB",501,498,329,796,277,785
PA14_20620,7,4,0,8,3,6
PA14_20630,2,6,1,5,3,2
PA14_20640,4,0,2,10,7,5
"PA14_20650,dsdA",22,28,24,44,30,25
PA14_20670,110,155,121,142,89,138
PA14_20680,78,141,69,116,101,94
PA14_20690,59,54,49,48,49,49
PA14_20700,430,612,353,478,427,530
"PA14_20720,flgN",142,155,106,143,142,107
"PA14_20730,flgM",189,348,188,248,298,228
"PA14_20740,flgA",100,110,71,83,61,114
PA14_20750,1723,1740,1543,2234,1004,2338
"PA14_20760,cheR",544,539,430,675,468,692
PA14_20770,218,475,213,283,207,301
PA14_20780,382,514,306,456,321,422
PA14_20800,47,85,44,48,23,44
"PA14_20810,recQ",296,441,162,250,210,304
PA14_20820,81,70,39,82,44,69
PA14_20840,36,66,45,51,22,57
"PA14_20850,slyA",62,45,40,82,37,81
PA14_20860,119,122,91,135,124,152
PA14_20870,32,35,21,37,20,21
PA14_20880,4,8,3,2,3,0
"PA14_20890,rfaD",174,348,102,153,174,236
PA14_20900,96,142,90,103,99,152
PA14_20920,88,77,49,98,90,128
PA14_20940,72,80,31,87,98,95
"PA14_20950,fabH2",186,214,119,176,154,222
PA14_20960,181,152,124,184,199,225
"PA14_20970,cyp23",322,363,200,356,368,368
PA14_20980,134,113,88,132,155,182
PA14_21000,157,153,119,186,195,178
PA14_21010,142,123,93,137,179,172
PA14_21020,911,877,650,1033,1020,1031
PA14_21030,1338,1697,1099,1678,873,1619
PA14_21040,10,2,2,7,4,7
PA14_21050,18,9,13,11,8,11
PA14_21060,4,7,4,4,9,2
PA14_21070,51,50,36,75,34,65
"PA14_21080,toxR",11,9,11,4,4,8
PA14_21090,5,2,1,6,1,3
"PA14_21110,plcN",5,12,247,428,121,217
PA14_21120,10,20,9,14,5,10
PA14_21130,42,55,37,45,23,42
PA14_21140,1,13,8,8,10,6
PA14_21150,5,7,4,10,12,7
PA14_21160,15,14,3,10,4,7
PA14_21175,121,176,116,150,128,166
PA14_21180,14,25,12,16,17,25
PA14_21190,192,404,162,212,158,209
PA14_21210,72,81,35,67,43,63
PA14_21220,687,763,383,577,529,692
"PA14_21230,hepA",144,156,122,166,155,153
PA14_21240,24,39,10,9,10,13
"PA14_21250,alkB",121,231,74,145,159,123
PA14_21260,83,73,37,42,24,46
PA14_21280,44,29,32,48,42,58
PA14_21290,27,12,12,29,11,14
PA14_21300,4,7,3,3,3,2
"PA14_21310,phaJ1",30,54,20,34,46,36
PA14_21320,43,69,42,49,39,69
"PA14_21340,fadD2",104,136,143,165,191,185
"PA14_21370,fadD1",283,435,280,421,201,462
PA14_21380,1,1,0,0,0,1
"PA14_21400,hrpA",168,128,112,159,139,203
"PA14_21410,phoA",1,5,222,400,93,260
PA14_21440,75,124,67,80,62,89
PA14_21450,208,245,202,242,263,359
PA14_21460,36,35,34,44,41,49
PA14_21470,95,46,51,86,31,87
PA14_21480,184,202,155,176,81,312
PA14_21490,682,747,560,649,814,1046
PA14_21510,8,12,9,14,5,10
PA14_21520,28,31,25,37,49,52
PA14_21530,9,12,24,37,14,22
"PA14_21540,fabH-2",267,294,186,301,189,282
PA14_21550,102,146,81,109,114,135
PA14_21560,10,8,6,5,9,10
PA14_21570,3,5,2,4,3,6
PA14_21580,12,5,7,5,7,16
PA14_21590,3,1,0,5,1,10
PA14_21600,3,13,8,7,10,6
"PA14_21610,oprO",5,9,440,1108,33,447
"PA14_21620,oprP",3,9,35,72,17,67
PA14_21630,75,113,44,70,72,81
PA14_21640,40,45,33,33,57,52
PA14_21650,21,15,10,30,19,10
PA14_21660,8,3,8,3,3,3
PA14_21670,4,5,8,6,9,5
PA14_21680,32,26,34,18,18,30
"PA14_21690,lhr1",167,114,113,138,122,120
PA14_21700,132,164,115,167,98,133
PA14_21710,101,201,54,94,58,78
PA14_21720,36,47,20,24,21,17
"PA14_21730,fecA",13,18,4,17,4,20
PA14_21750,144,178,88,119,161,162
"PA14_21760,capB",14,29,11,25,22,30
"PA14_21770,sugE",10,20,4,8,10,11
PA14_21780,12,20,7,14,27,19
"PA14_21790,rdgC",45,40,25,45,55,42
PA14_21800,88,88,115,45,143,58
PA14_21810,182,156,140,72,202,93
PA14_21820,344,385,291,396,501,409
PA14_21830,99,90,98,93,88,92
PA14_21840,85,124,52,80,69,54
PA14_21850,43,83,29,65,64,56
PA14_21860,28,38,15,26,29,26
PA14_21870,11,15,51,90,35,97
"PA14_21880,tsp",1397,1570,1296,1772,1224,1745
"PA14_21890,qor",225,238,178,191,168,245
PA14_21900,38,50,53,73,71,87
PA14_21910,24,22,47,60,81,50
PA14_21920,19,26,31,51,59,46
PA14_21930,16,24,38,57,64,47
PA14_21940,33,37,40,56,62,46
PA14_21960,62,79,269,247,313,282
PA14_21970,15,8,26,39,20,34
PA14_21980,11,9,3,13,12,15
PA14_21990,107,156,108,161,121,132
"PA14_22000,rluA",29,34,27,37,35,29
"PA14_22010,minE",287,407,189,227,245,313
"PA14_22020,minD",1093,1334,768,1171,693,1180
"PA14_22040,minC",108,133,75,108,71,130
"PA14_22050,htrB",37,53,40,56,42,57
PA14_22060,51,58,40,29,34,61
PA14_22075,69,66,53,76,67,85
PA14_22080,181,159,132,145,80,181
PA14_22090,60,56,51,43,34,42
PA14_22100,17,16,14,13,12,16
PA14_22110,24,9,10,19,8,14
PA14_22120,52,67,53,59,39,47
PA14_22130,2,6,3,3,2,9
PA14_22140,17,8,9,14,5,24
PA14_22160,4,6,6,16,6,10
PA14_22180,11,8,4,7,1,8
PA14_22190,75,73,49,52,25,63
PA14_22210,27,30,28,21,23,39
PA14_22220,31,17,13,21,30,20
PA14_22230,5,8,11,8,2,4
PA14_22240,9,13,9,14,5,18
PA14_22250,22,28,12,17,7,22
PA14_22260,10,16,4,11,9,13
PA14_22270,77,74,58,83,40,60
PA14_22280,9,8,5,8,1,3
"PA14_22290,vacJ",43,74,57,78,40,68
PA14_22310,112,104,106,138,49,99
PA14_22320,0,2,2,2,0,1
PA14_22330,19,21,11,20,14,22
"PA14_22340,yjcH",75,83,62,71,59,63
"PA14_22350,actP",105,107,120,131,102,81
PA14_22370,59,95,52,86,60,62
PA14_22380,9,8,11,11,5,13
PA14_22400,22,29,21,24,27,30
PA14_22410,81,88,45,80,71,66
PA14_22420,29,68,24,27,8,51
"PA14_22440,bapA",147,138,99,142,140,170
"PA14_22450,ppiA",114,149,117,166,90,188
PA14_22460,69,74,57,79,97,50
PA14_22470,124,73,78,115,86,97
PA14_22480,32,37,23,36,16,26
"PA14_22490,acpD",16,12,9,10,12,9
PA14_22500,9,13,7,10,6,15
PA14_22510,2,7,1,8,1,3
PA14_22520,27,37,10,19,13,24
PA14_22530,9,12,13,22,4,9
"PA14_22540,wrbA",3,4,5,10,1,5
PA14_22550,30,26,21,27,18,40
PA14_22560,14,11,9,19,9,19
"PA14_22570,csaA",11,15,7,12,10,7
PA14_22580,15,16,5,8,12,14
PA14_22590,7,7,83,68,31,42
"PA14_22600,grtA",7,8,85,88,28,31
"PA14_22620,cyaB",49,68,44,78,37,87
PA14_22630,19,39,17,18,21,9
PA14_22640,26,34,15,34,24,19
PA14_22650,31,43,23,41,46,41
PA14_22660,109,137,69,97,95,99
"PA14_22670,yrbF",68,75,49,83,53,62
"PA14_22680,yrbE",160,206,135,200,165,193
"PA14_22690,trkH",58,82,28,57,68,52
"PA14_22700,ykgJ",2,1,1,0,0,2
"PA14_22710,ydjA",13,16,12,19,14,10
PA14_22720,2,1,0,4,2,3
PA14_22730,31,16,15,19,28,16
PA14_22740,47,48,31,31,55,26
"PA14_22760,cpxR",41,37,41,39,47,24
PA14_22770,80,81,55,64,72,82
"PA14_22780,yciI",27,36,34,35,44,21
"PA14_22800,yciB",167,253,157,197,178,199
"PA14_22820,yciV",79,84,60,75,80,102
"PA14_22830,yciO",91,118,90,119,80,117
"PA14_22840,ypuG",66,99,58,84,100,79
PA14_22860,50,53,54,80,99,66
PA14_22870,32,36,21,41,20,51
PA14_22880,16,20,10,13,16,15
"PA14_22890,gapA",391,332,340,491,477,440
"PA14_22910,edd",875,713,608,958,826,1147
"PA14_22930,glk",222,115,143,228,172,252
"PA14_22940,gltR",77,56,48,107,100,96
PA14_22960,89,65,74,115,110,160
"PA14_22980,gltB",186,160,315,317,455,408
"PA14_22990,gltF",18,21,40,27,70,47
"PA14_23000,gltG",11,28,50,46,58,73
"PA14_23010,gltK",29,24,46,39,93,62
"PA14_23030,oprB",83,78,108,159,95,166
PA14_23050,140,112,102,114,154,199
"PA14_23060,hexR",87,99,55,100,89,98
"PA14_23070,zwf",870,731,675,1091,807,1382
"PA14_23080,pgl",150,118,104,147,223,204
"PA14_23090,edaA",191,174,139,178,209,251
"PA14_23100,mutT",26,66,19,26,25,31
"PA14_23110,yciL",80,98,59,108,73,103
PA14_23120,59,63,37,56,41,75
PA14_23130,86,147,63,99,91,85
"PA14_23160,gltS",3,4,5,3,4,7
"PA14_23170,hutG",2,7,8,5,6,5
PA14_23190,11,18,5,12,8,12
"PA14_23200,yciK",96,96,61,104,78,104
PA14_23210,91,99,60,94,101,124
"PA14_23220,ubiG",158,121,98,172,90,166
PA14_23240,81,97,51,76,51,71
"PA14_23250,mtnA",59,79,63,53,54,98
"PA14_23260,gyrA",1186,1197,878,1550,1142,1690
"PA14_23270,serC",367,433,251,475,344,520
"PA14_23280,pheA",318,343,274,420,245,447
"PA14_23290,hisC2",125,83,79,130,165,189
PA14_23310,270,284,256,355,313,424
"PA14_23320,cmk",49,40,53,57,71,68
"PA14_23330,rpsA",3862,2389,2748,4175,3844,5374
"PA14_23340,ihfB",466,534,358,488,272,558
"PA14_23350,orfA",425,504,322,382,215,370
"PA14_23360,wzz",1260,1102,1096,1325,605,1452
"PA14_23370,orfK",1171,833,1177,1287,705,1552
"PA14_23380,orfH",1768,1176,1578,1765,797,2423
"PA14_23390,orfE",730,496,652,754,248,794
PA14_23400,620,343,478,473,206,545
"PA14_23410,orfJ",424,293,375,355,138,481
PA14_23420,1870,1478,1899,2002,1293,2778
PA14_23430,1004,752,992,1116,974,1635
"PA14_23440,orfL",589,465,545,543,493,680
"PA14_23450,orfM",547,436,482,529,370,800
"PA14_23460,orfN",502,397,449,474,394,608
"PA14_23470,wbpM",1039,1035,824,1190,897,1415
PA14_23480,12,17,8,15,14,17
PA14_23490,229,338,401,169,425,269
"PA14_23500,tyrB",323,401,277,431,237,432
"PA14_23510,uvrB",293,341,260,381,235,336
PA14_23520,13,13,6,17,9,10
"PA14_23530,mdr",5,4,2,3,4,5
"PA14_23540,act",36,27,29,41,24,48
"PA14_23560,gltx",348,346,302,411,340,491
PA14_23570,1471,865,1390,728,1071,1365
PA14_23580,135,80,179,98,135,89
PA14_23590,16,19,10,11,15,15
PA14_23610,21,16,14,16,14,18
"PA14_23620,kdgA",82,103,60,92,97,91
PA14_23630,53,54,41,44,28,43
PA14_23640,37,46,27,32,34,44
"PA14_23650,ygfF",48,55,30,66,24,50
PA14_23670,20,18,18,23,21,14
"PA14_23680,ibpA",357,373,220,321,258,466
PA14_23690,42,33,10,25,35,23
PA14_23700,28,33,14,34,19,19
PA14_23720,47,43,27,39,98,28
PA14_23730,5,5,2,5,4,3
"PA14_23750,leuC",333,310,222,319,274,408
"PA14_23760,leuD",184,155,155,171,148,232
"PA14_23770,yafE",39,14,18,30,44,49
"PA14_23790,leuB",251,248,176,254,139,267
"PA14_23800,asd",393,381,300,395,363,494
PA14_23810,82,96,52,72,45,114
"PA14_23830,fimV",835,926,593,793,1142,1130
"PA14_23840,truA",34,64,36,55,55,75
"PA14_23850,trpF",71,77,42,93,88,106
"PA14_23860,accD",382,377,305,422,348,516
"PA14_23880,folC",340,273,217,311,319,339
PA14_23890,190,252,138,213,215,217
"PA14_23900,cvpA",48,73,43,67,41,45
"PA14_23920,purF",353,545,265,396,252,498
"PA14_23930,metZ",98,190,81,102,80,124
PA14_23950,50,70,30,41,54,56
"PA14_23970,xcpQ",229,329,293,391,235,375
"PA14_23980,xcpP",369,666,328,345,298,336
"PA14_23990,xcpR",266,280,212,332,265,324
"PA14_24010,xcpS",173,191,210,271,226,262
"PA14_24020,xcpT",136,166,155,209,121,247
"PA14_24040,xcpU",80,43,95,95,108,109
"PA14_24050,xcpV",37,26,22,51,49,28
"PA14_24060,xcpW",42,34,35,57,55,54
"PA14_24070,xcpX",67,89,86,87,144,115
"PA14_24080,xcpY",68,56,69,73,105,72
"PA14_24100,xcpZ",13,10,13,14,12,17
PA14_24110,339,430,470,196,395,255
PA14_24120,262,195,191,128,316,136
PA14_24130,306,232,260,151,391,186
PA14_24140,44,49,40,36,49,63
PA14_24150,49,48,35,41,64,53
"PA14_24170,fadH1",59,61,42,54,45,63
PA14_24180,91,95,82,87,80,116
PA14_24190,14,8,8,11,25,11
PA14_24210,16,10,12,12,25,8
"PA14_24220,ppnK",79,111,64,108,66,102
PA14_24230,70,79,58,72,59,75
PA14_24240,53,55,33,54,50,66
PA14_24245,65,72,33,55,54,51
PA14_24260,106,132,96,109,67,104
"PA14_24270,pepN",659,822,580,856,544,864
"PA14_24290,gbt",66,37,56,89,45,91
PA14_24300,37,23,23,42,28,48
PA14_24310,13,14,12,15,8,19
PA14_24330,42,76,41,72,50,48
PA14_24340,32,39,18,26,24,27
PA14_24350,11,5,9,13,6,8
PA14_24360,6,10,3,7,7,11
PA14_24370,63,114,48,56,54,83
PA14_24380,19,36,12,33,26,40
PA14_24390,32,34,16,35,36,25
PA14_24400,11,20,11,26,22,15
PA14_24410,5,6,2,9,11,6
PA14_24420,32,32,19,24,22,18
"PA14_24430,moxR",60,90,49,69,86,53
PA14_24440,39,29,36,30,30,51
"PA14_24445,gdhB",1169,1695,1435,1532,1408,1816
"PA14_24480,pelA",15,17,7,15,14,25
"PA14_24490,pelB",19,28,8,18,19,18
"PA14_24500,pelC",0,1,1,1,0,0
"PA14_24510,pelD",9,10,3,10,8,7
"PA14_24530,pelE",2,2,1,1,3,7
"PA14_24550,pelF",8,6,9,8,15,10
"PA14_24560,pelG",8,18,8,12,14,14
PA14_24570,1,3,3,7,2,4
PA14_24580,32,47,33,41,49,64
PA14_24590,65,74,79,85,65,75
PA14_24600,83,114,69,124,97,82
PA14_24610,32,59,37,35,24,46
PA14_24620,58,72,42,49,57,43
PA14_24630,10,22,8,13,4,16
"PA14_24640,pyrD",68,64,29,40,35,55
"PA14_24650,rmf",1536,1783,1023,1468,574,1468
PA14_24665,27,25,28,29,25,39
PA14_24675,35,61,35,38,52,77
"PA14_24690,dacB",100,95,70,78,49,97
PA14_24700,219,306,165,290,310,242
PA14_24710,30,21,15,19,6,32
PA14_24720,17,28,17,23,17,32
PA14_24730,178,259,176,243,162,192
PA14_24740,167,62,125,105,163,145
"PA14_24760,yqjE",306,348,294,384,344,429
PA14_24770,353,398,259,351,443,355
PA14_24780,38,23,10,20,18,19
"PA14_24790,opdQ",43,72,63,112,60,85
PA14_24810,0,0,1,1,1,1
PA14_24820,5,2,1,1,0,0
PA14_24830,5,5,4,6,2,4
PA14_24840,85,96,59,98,65,81
PA14_24850,73,87,55,55,66,56
"PA14_24860,snr1",111,161,206,187,110,170
PA14_24870,4,9,11,12,7,17
PA14_24880,125,175,111,139,197,184
"PA14_24890,mobA",22,23,18,19,14,25
"PA14_24900,moaB2",66,80,69,72,97,95
"PA14_24910,moeA2",114,90,69,120,137,103
PA14_24920,19,25,11,24,19,12
PA14_24940,35,46,27,50,46,55
"PA14_24950,glpD2",20,16,8,20,12,18
PA14_24960,20,29,22,31,31,38
"PA14_24970,yegS",71,88,58,82,71,75
PA14_24980,267,283,199,301,375,345
PA14_24990,108,117,106,104,87,159
"PA14_25000,slt",196,312,191,274,205,227
"PA14_25020,uup",136,147,86,134,116,171
PA14_25030,28,26,19,27,18,32
PA14_25040,50,83,49,59,59,55
PA14_25050,4,5,3,4,3,10
PA14_25060,33,70,31,46,25,38
"PA14_25080,fadB",1343,1435,968,1495,956,1324
"PA14_25090,fadA",382,516,294,411,268,424
PA14_25100,49,72,42,72,53,66
"PA14_25110,topA",1301,1302,1112,1327,1029,1454
PA14_25130,167,260,118,214,150,208
PA14_25140,38,53,20,30,26,30
PA14_25150,43,71,26,48,41,60
"PA14_25160,lexA",93,147,79,96,116,126
"PA14_25180,psrA",424,334,143,322,192,508
"PA14_25195,nagZ",159,206,122,138,225,113
PA14_25210,58,91,50,64,41,71
PA14_25220,43,61,35,36,20,47
"PA14_25230,mfd",348,498,258,396,348,358
"PA14_25250,gapA",672,736,484,678,541,735
"PA14_25270,aroP1",105,117,84,125,93,156
"PA14_25280,nqrA",221,185,139,252,185,250
"PA14_25305,nqrB",229,250,168,247,221,276
"PA14_25320,nqrC",172,154,123,186,108,236
"PA14_25330,nqrD",189,187,147,198,167,248
"PA14_25340,nqrE",124,150,98,142,131,193
"PA14_25350,nqrF",297,297,242,323,289,433
"PA14_25360,apbE",146,179,115,172,124,156
PA14_25370,68,62,57,54,12,61
"PA14_25390,sth",451,533,350,536,333,613
"PA14_25400,ugpQ",108,165,110,126,124,153
PA14_25410,19,25,4,15,13,18
PA14_25420,89,125,52,82,70,90
"PA14_25430,lolC",138,146,120,156,121,194
"PA14_25440,lolD",73,61,55,52,62,49
"PA14_25450,lolE",70,62,46,61,41,72
PA14_25470,16,24,18,22,15,23
PA14_25480,24,18,25,24,35,27
PA14_25490,102,112,86,129,84,162
"PA14_25500,exbD",57,55,44,59,26,86
"PA14_25510,lpxK",145,175,111,154,145,164
PA14_25520,116,97,68,120,70,101
"PA14_25530,kdsB",151,159,88,138,160,129
"PA14_25540,ptpA",58,67,43,83,68,68
"PA14_25550,murB",75,76,47,92,89,136
"PA14_25560,rne",1053,822,837,1284,864,1098
"PA14_25580,rluC",362,312,245,404,326,465
PA14_25590,280,247,191,251,246,309
"PA14_25600,sppA",213,202,135,194,152,227
"PA14_25610,maf-1",8,10,9,8,6,12
PA14_25620,1075,1087,801,1210,683,1860
"PA14_25630,rpmF",245,292,181,297,277,337
"PA14_25640,plsX",49,53,42,60,75,56
"PA14_25650,fabD",96,138,106,91,127,138
"PA14_25660,fabG",551,750,414,574,478,842
"PA14_25670,acpP",482,637,367,460,753,447
"PA14_25690,fabF1",380,421,288,425,379,472
"PA14_25710,pabC",111,85,86,92,138,117
PA14_25730,106,110,69,89,73,107
"PA14_25740,tmk",41,30,17,30,36,20
"PA14_25760,holB",99,129,79,109,95,127
"PA14_25770,pilZ",190,260,155,221,195,341
"PA14_25780,ycfH",74,81,74,80,65,93
PA14_25790,55,52,55,70,46,76
PA14_25800,214,200,167,242,174,301
PA14_25810,91,112,58,106,84,91
PA14_25820,48,54,36,53,26,36
PA14_25830,34,33,24,36,19,29
PA14_25840,430,451,269,473,273,470
"PA14_25860,etfB",945,945,673,1135,1161,1335
"PA14_25880,etfA",811,900,599,1059,953,1006
PA14_25900,295,350,227,267,242,323
PA14_25910,41,58,32,47,53,49
"PA14_25920,cobM",22,17,11,23,22,41
PA14_25930,6,12,8,2,9,9
PA14_25940,177,180,163,239,236,217
"PA14_25960,cobW",138,144,127,204,136,201
"PA14_25970,cobN",128,105,108,168,194,202
"PA14_25980,aroF",40,36,32,48,44,48
PA14_25990,24,18,20,21,34,16
PA14_26000,7,8,3,8,10,9
"PA14_26010,phaA",8,3,4,9,5,10
PA14_26020,565,792,815,1039,744,753
PA14_26050,13,4,6,8,13,3
PA14_26060,31,59,14,24,21,14
PA14_26070,2,10,2,9,6,6
PA14_26080,1,10,0,2,3,2
"PA14_26090,cif",18,9,24,25,14,25
PA14_26110,5,6,5,5,14,6
"PA14_26130,morB",23,14,22,25,25,24
"PA14_26140,cifR",39,20,19,35,38,33
PA14_26150,4,7,5,5,7,0
